producto,categoria,proveedor,cantidad,precio_unitario,descuento,impuesto,fecha,canal_venta,pais,moneda
HDD 2TB,Video,FashionCorp,5,1075.4,115.19,225.83,2024-10-22,Online,España,EUR
Guantes Gym,Electrónica,HomePlus,3,1638.35,60.35,344.05,2024-03-27,Online,Francia,EUR
Chaqueta Invierno,Oficina,TechCorp,2,1406.05,176.08,295.27,2024-05-16,Online,Portugal,EUR
Webcam FullHD,Video,GlobalTech,3,771.3,90.79,161.97,2024-01-25,Online,Alemania,EUR
Laptop Pro,Audio,ProGear,3,1182.63,98.22,248.35,2024-08-01,Online,Portugal,EUR
Escritorio Oficina,Accesorios,GlobalTech,2,1317.29,87.59,276.63,2024-04-18,Online,Alemania,EUR
Memoria RAM 16GB,Oficina,ElectroMax,3,220.5,4.82,46.3,2024-09-21,Online,Italia,EUR
HDD 2TB,Video,GlobalTech,3,964.57,21.21,202.56,2024-04-25,Distribuidor,Portugal,EUR
Guantes Gym,Deportes,ElectroMax,5,754.03,71.42,158.35,2024-11-23,Distribuidor,España,EUR
HDD 2TB,Hogar,Distribuciones Europa,1,598.27,3.53,125.64,2024-02-10,Tienda,España,EUR
Cargador USB-C,Video,ElectroMax,3,276.19,13.13,58.0,2024-01-26,Online,Francia,EUR
Webcam FullHD,Hogar,Distribuciones Europa,2,398.58,21.69,83.7,2024-06-23,Tienda,Italia,EUR
Drone Mini,Electrónica,HomePlus,3,745.34,17.63,156.52,2024-10-23,Online,Francia,EUR
Gafas Sol,Audio,ElectroMax,2,983.84,10.5,206.61,2024-02-23,Tienda,España,EUR
Altavoz Bluetooth,Hogar,ElectroMax,4,867.39,76.31,182.15,2024-03-12,Distribuidor,España,EUR
Altavoz Bluetooth,Moda,MegaStore,2,238.21,22.74,50.02,2024-05-02,Distribuidor,Francia,EUR
Memoria RAM 16GB,Hogar,LogiTech,4,425.2,39.09,89.29,2024-05-03,Online,Portugal,EUR
Auriculares Bluetooth,Deportes,MegaStore,5,688.15,52.39,144.51,2024-03-21,Distribuidor,Portugal,EUR
Zapatillas Running,Oficina,GlobalTech,4,1333.15,9.72,279.96,2024-12-25,Online,Portugal,EUR
Aspiradora Robot,Video,TechCorp,1,375.41,4.05,78.84,2024-02-29,Tienda,Portugal,EUR
Casco Bicicleta,Oficina,Distribuciones Europa,3,720.24,26.79,151.25,2024-11-18,Distribuidor,Francia,EUR
Cafetera Automática,Audio,ProGear,4,1131.63,119.68,237.64,2024-06-04,Distribuidor,Francia,EUR
Laptop Air,Moda,Distribuciones Europa,2,744.08,25.91,156.26,2024-03-14,Online,Portugal,EUR
Silla Gamer,Electrónica,HomePlus,5,1111.23,99.34,233.36,2024-02-08,Tienda,Francia,EUR
Monitor 32,Electrónica,TechCorp,1,577.21,83.52,121.21,2024-06-02,Tienda,Alemania,EUR
Colchoneta Yoga,Deportes,ElectroMax,3,1447.78,80.91,304.03,2024-12-23,Online,España,EUR
Plancha Vapor,Video,GlobalTech,2,1018.42,131.02,213.87,2024-05-10,Online,España,EUR
Proyector HD,Audio,ElectroMax,4,879.29,26.83,184.65,2024-05-17,Online,Alemania,EUR
Lámpara LED,Oficina,Distribuciones Europa,4,467.97,23.73,98.27,2024-09-01,Online,Italia,EUR
Smartphone X,Hogar,FashionCorp,2,37.75,3.43,7.93,2024-06-20,Distribuidor,España,EUR
Pantalón Trekking,Accesorios,Distribuciones Europa,2,277.03,14.59,58.18,2024-11-14,Distribuidor,Alemania,EUR
Pantalón Trekking,Accesorios,ElectroMax,1,346.7,5.02,72.81,2024-02-04,Distribuidor,España,EUR
Memoria RAM 16GB,Audio,ProGear,5,311.77,16.26,65.47,2024-12-28,Online,Portugal,EUR
Cámara HD,Video,ElectroMax,4,561.39,66.36,117.89,2024-04-16,Tienda,Italia,EUR
Tostadora,Accesorios,ElectroMax,1,1357.2,123.2,285.01,2024-03-31,Distribuidor,Alemania,EUR
TV 55,Moda,ElectroMax,4,1183.04,12.11,248.44,2024-10-09,Distribuidor,Francia,EUR
Cargador USB-C,Oficina,MegaStore,4,828.99,48.18,174.09,2024-11-14,Distribuidor,Italia,EUR
Cámara HD,Deportes,ProGear,2,521.29,50.74,109.47,2024-03-19,Distribuidor,Alemania,EUR
Proyector HD,Deportes,ProGear,5,1333.98,80.9,280.14,2024-09-25,Tienda,Francia,EUR
Smartphone X,Electrónica,Distribuciones Europa,5,24.39,1.25,5.12,2024-07-04,Tienda,Portugal,EUR
Colchoneta Yoga,Video,TechCorp,3,39.47,3.2,8.29,2024-10-06,Distribuidor,España,EUR
Impresora Laser,Accesorios,Distribuciones Europa,4,1087.32,123.31,228.34,2024-12-20,Online,Portugal,EUR
Colchoneta Yoga,Oficina,ElectroMax,2,261.84,35.34,54.99,2024-03-01,Tienda,España,EUR
Chaqueta Invierno,Hogar,Distribuciones Europa,2,936.9,38.17,196.75,2024-09-21,Online,Portugal,EUR
Cargador USB-C,Moda,FashionCorp,4,292.71,14.64,61.47,2024-03-05,Tienda,España,EUR
Auriculares Bluetooth,Moda,Distribuciones Europa,3,249.06,14.22,52.3,2024-06-29,Tienda,Alemania,EUR
Monitor 32,Deportes,HomePlus,5,851.87,81.11,178.89,2024-04-03,Distribuidor,España,EUR
Silla Gamer,Audio,ProGear,4,30.36,0.11,6.38,2024-03-25,Online,Portugal,EUR
Monitor 32,Accesorios,MegaStore,3,1174.15,38.13,246.57,2024-02-21,Online,Alemania,EUR
Cámara HD,Moda,ElectroMax,2,977.39,124.44,205.25,2024-04-11,Distribuidor,Italia,EUR
Casco Bicicleta,Oficina,TechCorp,1,849.36,8.12,178.37,2024-07-01,Online,Francia,EUR
Zapatillas Running,Moda,SportWorld,4,678.74,72.41,142.54,2024-07-22,Online,Portugal,EUR
SSD 1TB,Hogar,HomePlus,4,537.64,29.88,112.9,2024-12-05,Tienda,Alemania,EUR
Pantalón Trekking,Audio,SportWorld,2,215.65,9.91,45.29,2024-10-07,Distribuidor,España,EUR
Pantalón Trekking,Video,TechCorp,4,154.29,12.44,32.4,2024-03-09,Distribuidor,Francia,EUR
Mochila Travel,Deportes,GlobalTech,2,230.99,22.33,48.51,2024-05-19,Distribuidor,España,EUR
Gafas Sol,Audio,MegaStore,2,504.28,62.76,105.9,2024-02-06,Distribuidor,Portugal,EUR
Auriculares Bluetooth,Electrónica,SportWorld,3,1309.9,78.9,275.08,2024-11-09,Online,Portugal,EUR
Smartwatch,Audio,FashionCorp,2,74.18,0.15,15.58,2024-03-18,Distribuidor,Portugal,EUR
Refrigerador Mini,Moda,SportWorld,4,44.23,4.17,9.29,2024-08-08,Online,Francia,EUR
Smartphone Mini,Moda,TechCorp,2,964.81,63.56,202.61,2024-02-09,Distribuidor,Italia,EUR
Guantes Gym,Video,FashionCorp,3,1078.99,81.12,226.59,2024-12-20,Distribuidor,Alemania,EUR
Router WiFi,Hogar,HomePlus,3,1336.53,198.53,280.67,2024-10-01,Distribuidor,Portugal,EUR
Zapatillas Running,Hogar,MegaStore,3,804.05,68.28,168.85,2024-10-18,Distribuidor,Italia,EUR
Teclado Mecánico,Accesorios,FashionCorp,1,74.03,0.09,15.55,2024-05-14,Online,España,EUR
Aspiradora Robot,Video,TechCorp,5,1166.54,166.66,244.97,2024-05-10,Tienda,Francia,EUR
Gafas Sol,Deportes,ElectroMax,5,19.76,1.15,4.15,2024-06-28,Distribuidor,Italia,EUR
SSD 1TB,Hogar,LogiTech,3,236.34,0.62,49.63,2024-02-23,Distribuidor,Francia,EUR
Aspiradora Robot,Video,Distribuciones Europa,3,184.06,19.67,38.65,2024-03-04,Tienda,España,EUR
Guantes Gym,Moda,Distribuciones Europa,5,1133.75,148.13,238.09,2024-08-08,Tienda,España,EUR
Laptop Air,Accesorios,Distribuciones Europa,2,907.58,48.91,190.59,2024-05-28,Distribuidor,Italia,EUR
Memoria RAM 16GB,Hogar,TechCorp,2,1188.34,37.5,249.55,2024-04-12,Tienda,Francia,EUR
Aspiradora Robot,Electrónica,GlobalTech,3,1362.65,47.51,286.16,2024-09-30,Distribuidor,Portugal,EUR
PowerBank 20k,Electrónica,MegaStore,4,800.69,85.66,168.14,2024-02-12,Distribuidor,Italia,EUR
Gafas Sol,Accesorios,TechCorp,2,977.14,123.04,205.2,2024-01-13,Tienda,Francia,EUR
Tablet Plus,Hogar,HomePlus,3,444.35,42.76,93.31,2024-04-09,Tienda,Portugal,EUR
Cargador USB-C,Video,HomePlus,5,1344.12,47.8,282.27,2024-02-29,Distribuidor,Italia,EUR
Cargador USB-C,Electrónica,TechCorp,5,1435.25,95.77,301.4,2024-01-20,Distribuidor,Francia,EUR
Aspiradora Robot,Video,GlobalTech,3,995.5,93.0,209.05,2024-12-24,Tienda,España,EUR
Altavoz Bluetooth,Hogar,MegaStore,3,1055.74,158.14,221.71,2024-03-01,Distribuidor,Alemania,EUR
TV 65,Electrónica,LogiTech,4,1164.65,116.24,244.58,2024-06-29,Online,Italia,EUR
Microfono Pro,Electrónica,ElectroMax,3,1602.99,130.94,336.63,2024-03-10,Tienda,España,EUR
Lámpara LED,Video,Distribuciones Europa,1,1007.59,78.46,211.59,2024-10-03,Tienda,Alemania,EUR
Colchoneta Yoga,Deportes,FashionCorp,5,529.83,20.96,111.26,2024-06-05,Tienda,Alemania,EUR
Silla Gamer,Hogar,TechCorp,4,276.59,37.96,58.08,2024-05-18,Online,Italia,EUR
Pantalón Trekking,Accesorios,FashionCorp,5,856.8,51.81,179.93,2024-09-23,Online,Italia,EUR
Guantes Gym,Oficina,TechCorp,3,382.93,1.2,80.42,2024-12-19,Distribuidor,Portugal,EUR
Altavoz Bluetooth,Audio,HomePlus,2,1901.08,172.22,399.23,2024-01-01,Online,Francia,EUR
Plancha Vapor,Oficina,GlobalTech,4,273.92,14.8,57.52,2024-09-01,Distribuidor,Portugal,EUR
Batidora Pro,Accesorios,TechCorp,2,350.95,42.53,73.7,2024-06-04,Online,España,EUR
Refrigerador Mini,Audio,MegaStore,4,1065.46,77.01,223.75,2024-08-31,Tienda,España,EUR
Aspiradora Robot,Moda,HomePlus,4,293.87,6.81,61.71,2024-06-06,Distribuidor,España,EUR
Chaqueta Invierno,Electrónica,ProGear,1,503.07,48.56,105.64,2024-01-01,Tienda,Portugal,EUR
Smartphone Mini,Hogar,MegaStore,3,349.79,37.17,73.46,2024-12-15,Online,Francia,EUR
Refrigerador Mini,Hogar,FashionCorp,1,708.08,13.99,148.7,2024-08-07,Tienda,Francia,EUR
Guantes Gym,Electrónica,FashionCorp,1,433.56,21.21,91.05,2024-08-26,Distribuidor,Francia,EUR
Pantalón Trekking,Electrónica,Distribuciones Europa,3,690.53,82.74,145.01,2024-10-15,Tienda,Alemania,EUR
Proyector HD,Accesorios,ElectroMax,4,1286.03,32.68,270.07,2024-01-22,Distribuidor,Portugal,EUR
Smartphone X,Video,GlobalTech,1,747.72,69.67,157.02,2024-08-02,Distribuidor,Alemania,EUR
Mouse Gamer,Oficina,Distribuciones Europa,2,572.73,71.05,120.27,2024-06-24,Distribuidor,Francia,EUR
Auriculares Bluetooth,Electrónica,ProGear,1,1083.4,84.18,227.51,2024-07-02,Distribuidor,Italia,EUR
Monitor 32,Oficina,Distribuciones Europa,2,803.47,76.63,168.73,2024-06-11,Online,Portugal,EUR
Plancha Vapor,Hogar,MegaStore,5,1218.09,123.42,255.8,2024-10-01,Online,Italia,EUR
Router WiFi,Accesorios,FashionCorp,5,105.78,12.08,22.21,2024-08-10,Online,Italia,EUR
Smartphone X,Electrónica,FashionCorp,5,548.43,33.57,115.17,2024-07-18,Tienda,Francia,EUR
Mouse Gamer,Audio,Distribuciones Europa,5,1738.85,64.7,365.16,2024-01-23,Distribuidor,España,EUR
Smartphone Mini,Moda,GlobalTech,2,1265.36,177.19,265.73,2024-12-25,Distribuidor,Portugal,EUR
Lámpara LED,Oficina,LogiTech,2,893.57,82.09,187.65,2024-06-07,Online,Francia,EUR
Aspiradora Robot,Accesorios,SportWorld,4,976.58,3.7,205.08,2024-02-29,Tienda,Francia,EUR
Tablet Plus,Audio,FashionCorp,1,1689.13,162.19,354.72,2024-12-09,Distribuidor,España,EUR
Router WiFi,Oficina,MegaStore,5,1213.28,61.88,254.79,2024-11-18,Distribuidor,España,EUR
Microfono Pro,Electrónica,ProGear,4,1393.51,157.34,292.64,2024-09-13,Distribuidor,Italia,EUR
Barra de Sonido,Audio,GlobalTech,4,2072.26,195.73,435.17,2024-11-16,Online,Portugal,EUR
SSD 1TB,Oficina,MegaStore,5,671.05,82.49,140.92,2024-09-28,Distribuidor,España,EUR
Tostadora,Deportes,GlobalTech,1,1172.37,25.22,246.2,2024-07-09,Online,Alemania,EUR
Tostadora,Hogar,GlobalTech,2,965.76,114.22,202.81,2024-03-24,Distribuidor,Portugal,EUR
Cargador USB-C,Video,TechCorp,3,27.3,0.61,5.73,2024-06-27,Distribuidor,Portugal,EUR
Pelota Fitness,Accesorios,LogiTech,4,1627.75,145.23,341.83,2024-04-15,Distribuidor,España,EUR
TV 55,Deportes,LogiTech,4,702.9,69.9,147.61,2024-04-22,Distribuidor,Portugal,EUR
Casco Bicicleta,Electrónica,TechCorp,5,986.4,64.87,207.14,2024-11-01,Online,Alemania,EUR
Cargador USB-C,Moda,MegaStore,1,775.66,28.28,162.89,2024-05-29,Tienda,Francia,EUR
Zapatillas Running,Deportes,Distribuciones Europa,3,1705.22,47.06,358.1,2024-01-07,Tienda,Francia,EUR
Batidora Pro,Audio,GlobalTech,5,317.48,18.75,66.67,2024-08-29,Distribuidor,Alemania,EUR
Cargador USB-C,Deportes,SportWorld,4,648.14,57.09,136.11,2024-12-22,Online,Alemania,EUR
Monitor 27,Deportes,ProGear,3,13.31,1.74,2.8,2024-05-22,Distribuidor,España,EUR
Batidora Pro,Audio,MegaStore,3,427.61,11.68,89.8,2024-01-24,Online,Alemania,EUR
Mochila Travel,Audio,TechCorp,1,552.08,49.04,115.94,2024-01-24,Online,Francia,EUR
Mouse Gamer,Deportes,FashionCorp,1,169.18,18.99,35.53,2024-02-22,Online,Francia,EUR
Escritorio Oficina,Hogar,HomePlus,5,509.29,69.18,106.95,2024-02-17,Tienda,Italia,EUR
Plancha Vapor,Electrónica,ProGear,5,1165.56,146.92,244.77,2024-02-24,Online,Francia,EUR
Webcam FullHD,Hogar,FashionCorp,2,1864.93,141.37,391.64,2024-12-02,Distribuidor,Alemania,EUR
Teclado Mecánico,Audio,LogiTech,3,477.39,58.41,100.25,2024-07-04,Online,España,EUR
Laptop Air,Hogar,MegaStore,3,1642.37,155.71,344.9,2024-01-27,Online,Portugal,EUR
TV 55,Electrónica,FashionCorp,1,717.5,49.69,150.67,2024-02-19,Tienda,España,EUR
Microfono Pro,Accesorios,TechCorp,1,344.61,45.65,72.37,2024-06-08,Online,Francia,EUR
Cargador USB-C,Moda,MegaStore,1,145.52,3.06,30.56,2024-06-24,Online,Portugal,EUR
SSD 1TB,Deportes,LogiTech,1,940.08,51.39,197.42,2024-05-07,Online,Italia,EUR
Mochila Travel,Accesorios,HomePlus,2,671.54,82.69,141.02,2024-09-25,Online,España,EUR
Guantes Gym,Oficina,SportWorld,1,273.88,18.94,57.51,2024-09-16,Online,Alemania,EUR
Proyector HD,Accesorios,LogiTech,3,262.75,16.78,55.18,2024-08-09,Online,Portugal,EUR
Mouse Gamer,Electrónica,FashionCorp,5,953.48,129.43,200.23,2024-05-31,Distribuidor,Italia,EUR
TV 55,Electrónica,LogiTech,3,279.59,12.34,58.71,2024-08-18,Distribuidor,Alemania,EUR
Chaqueta Invierno,Oficina,Distribuciones Europa,4,1398.49,120.59,293.68,2024-09-19,Distribuidor,Alemania,EUR
Aspiradora Robot,Moda,TechCorp,3,301.73,14.44,63.36,2024-12-10,Online,Alemania,EUR
Guantes Gym,Audio,ProGear,5,512.77,39.28,107.68,2024-06-22,Tienda,Italia,EUR
Casco Bicicleta,Electrónica,GlobalTech,4,411.25,45.99,86.36,2024-06-11,Distribuidor,Francia,EUR
Monitor 27,Deportes,HomePlus,3,1287.94,91.08,270.47,2024-10-31,Online,Italia,EUR
Microfono Pro,Moda,HomePlus,2,638.95,68.06,134.18,2024-06-08,Distribuidor,España,EUR
Aspiradora Robot,Audio,FashionCorp,5,510.58,67.93,107.22,2024-12-22,Distribuidor,Italia,EUR
TV 65,Video,TechCorp,2,983.57,32.98,206.55,2024-08-31,Tienda,Alemania,EUR
SSD 1TB,Hogar,FashionCorp,3,75.11,5.44,15.77,2024-03-20,Distribuidor,Italia,EUR
Impresora Laser,Hogar,LogiTech,5,411.53,34.37,86.42,2024-02-08,Distribuidor,España,EUR
Plancha Vapor,Hogar,FashionCorp,4,613.3,11.66,128.79,2024-08-17,Distribuidor,Portugal,EUR
Cámara HD,Accesorios,SportWorld,2,338.49,16.79,71.08,2024-06-29,Online,Francia,EUR
Casco Bicicleta,Moda,ProGear,1,1304.47,54.79,273.94,2024-02-18,Tienda,Italia,EUR
Escritorio Oficina,Electrónica,Distribuciones Europa,3,60.7,6.67,12.75,2024-04-14,Distribuidor,Francia,EUR
Laptop Pro,Electrónica,SportWorld,1,1053.54,104.62,221.24,2024-07-21,Online,Alemania,EUR
Cargador USB-C,Moda,TechCorp,4,71.94,10.0,15.11,2024-01-02,Tienda,Alemania,EUR
Proyector HD,Hogar,ProGear,2,1060.28,85.6,222.66,2024-12-08,Online,España,EUR
Monitor 27,Oficina,FashionCorp,5,1310.7,168.18,275.25,2024-01-21,Online,Portugal,EUR
Tostadora,Electrónica,TechCorp,4,932.0,131.72,195.72,2024-02-12,Tienda,Francia,EUR
Lámpara LED,Video,LogiTech,1,779.43,104.35,163.68,2024-07-15,Tienda,Portugal,EUR
Smartwatch,Accesorios,SportWorld,3,604.73,82.22,126.99,2024-07-14,Online,Italia,EUR
Tablet Plus,Electrónica,Distribuciones Europa,2,765.15,14.43,160.68,2024-09-03,Distribuidor,Portugal,EUR
Refrigerador Mini,Hogar,ElectroMax,2,1303.4,185.01,273.71,2024-09-21,Online,Italia,EUR
Silla Gamer,Audio,ElectroMax,5,580.79,75.54,121.97,2024-06-04,Online,Italia,EUR
Cámara HD,Oficina,FashionCorp,5,242.23,21.12,50.87,2024-03-12,Distribuidor,Italia,EUR
Pantalón Trekking,Electrónica,ElectroMax,5,822.66,109.58,172.76,2024-02-07,Distribuidor,Francia,EUR
Impresora Laser,Accesorios,MegaStore,1,390.19,29.43,81.94,2024-02-19,Online,Portugal,EUR
Laptop Air,Oficina,HomePlus,2,995.89,116.77,209.14,2024-08-01,Online,Italia,EUR
Set Mancuernas,Accesorios,ProGear,3,2182.34,201.45,458.29,2024-11-30,Online,Francia,EUR
Mochila Travel,Hogar,ElectroMax,1,673.82,12.03,141.5,2024-06-23,Distribuidor,Portugal,EUR
Set Mancuernas,Moda,GlobalTech,4,1989.72,196.39,417.84,2024-12-11,Tienda,Alemania,EUR
Altavoz Bluetooth,Accesorios,ProGear,1,896.24,7.41,188.21,2024-09-06,Distribuidor,Alemania,EUR
Impresora Laser,Moda,FashionCorp,5,944.85,109.08,198.42,2024-08-25,Tienda,Francia,EUR
Set Mancuernas,Electrónica,FashionCorp,1,288.9,3.09,60.67,2024-05-23,Tienda,Francia,EUR
Router WiFi,Electrónica,ElectroMax,3,133.97,3.17,28.13,2024-12-14,Distribuidor,Italia,EUR
Escritorio Oficina,Oficina,SportWorld,4,348.56,21.68,73.2,2024-05-30,Tienda,Italia,EUR
Monitor 32,Electrónica,Distribuciones Europa,4,369.88,20.94,77.67,2024-12-23,Tienda,Portugal,EUR
Set Mancuernas,Deportes,GlobalTech,1,236.94,1.78,49.76,2024-06-29,Tienda,España,EUR
Barra de Sonido,Hogar,SportWorld,5,92.41,11.03,19.41,2024-08-26,Tienda,Alemania,EUR
Lámpara LED,Deportes,GlobalTech,4,37.83,1.66,7.94,2024-10-20,Online,Portugal,EUR
Mouse Gamer,Accesorios,Distribuciones Europa,5,407.16,53.07,85.5,2024-02-03,Online,Portugal,EUR
Teclado Mecánico,Hogar,ProGear,2,752.67,77.22,158.06,2024-08-25,Distribuidor,Francia,EUR
PowerBank 20k,Accesorios,SportWorld,4,1176.97,37.65,247.16,2024-03-30,Online,Alemania,EUR
Casco Bicicleta,Oficina,MegaStore,5,1662.49,189.23,349.12,2024-12-28,Online,Alemania,EUR
Mochila Travel,Moda,MegaStore,1,721.19,11.43,151.45,2024-01-26,Distribuidor,Alemania,EUR
Webcam FullHD,Accesorios,ElectroMax,5,553.27,10.12,116.19,2024-05-28,Distribuidor,Portugal,EUR
TV 55,Accesorios,TechCorp,3,729.05,31.75,153.1,2024-04-04,Online,Alemania,EUR
TV 55,Deportes,TechCorp,5,1352.76,60.43,284.08,2024-04-16,Distribuidor,Alemania,EUR
Mochila Travel,Deportes,LogiTech,1,894.03,7.8,187.75,2024-03-19,Distribuidor,Francia,EUR
Gafas Sol,Accesorios,HomePlus,2,607.51,21.35,127.58,2024-04-19,Online,Portugal,EUR
HDD 2TB,Hogar,TechCorp,5,1011.2,100.87,212.35,2024-06-04,Distribuidor,Alemania,EUR
Cafetera Automática,Oficina,LogiTech,3,256.22,0.62,53.81,2024-08-09,Online,Italia,EUR
Monitor 32,Audio,ElectroMax,5,23.93,2.27,5.03,2024-06-01,Online,Francia,EUR
Tablet Plus,Oficina,FashionCorp,5,1158.57,100.88,243.3,2024-06-12,Distribuidor,Alemania,EUR
Pantalón Trekking,Deportes,SportWorld,4,510.95,49.02,107.3,2024-04-04,Online,Francia,EUR
Set Mancuernas,Moda,GlobalTech,3,885.92,2.64,186.04,2024-10-30,Distribuidor,Portugal,EUR
Pantalón Trekking,Audio,LogiTech,1,1623.56,242.69,340.95,2024-04-20,Online,Alemania,EUR
Webcam FullHD,Oficina,FashionCorp,3,982.72,127.61,206.37,2024-11-11,Tienda,Francia,EUR
Tablet Plus,Hogar,TechCorp,3,1259.28,100.56,264.45,2024-04-20,Online,Francia,EUR
Monitor 32,Hogar,HomePlus,1,1549.02,193.31,325.29,2024-04-25,Online,Italia,EUR
Barra de Sonido,Accesorios,ProGear,5,379.81,12.79,79.76,2024-06-29,Online,Francia,EUR
Monitor 32,Deportes,HomePlus,2,938.42,15.28,197.07,2024-06-11,Distribuidor,Italia,EUR
Webcam FullHD,Deportes,FashionCorp,2,1250.43,51.12,262.59,2024-09-10,Tienda,España,EUR
Microfono Pro,Deportes,HomePlus,1,1594.78,184.11,334.9,2024-12-03,Distribuidor,Francia,EUR
Pelota Fitness,Accesorios,ProGear,1,1449.82,198.0,304.46,2024-04-06,Tienda,España,EUR
Zapatillas Running,Audio,Distribuciones Europa,1,80.16,11.69,16.83,2024-07-13,Online,Italia,EUR
SSD 1TB,Video,TechCorp,4,236.78,12.82,49.72,2024-12-16,Distribuidor,Francia,EUR
Altavoz Bluetooth,Audio,LogiTech,5,333.88,11.05,70.11,2024-04-26,Tienda,Francia,EUR
Mouse Gamer,Oficina,ProGear,1,1790.8,44.06,376.07,2024-12-12,Tienda,España,EUR
Casco Bicicleta,Video,HomePlus,5,595.96,35.9,125.15,2024-09-17,Distribuidor,España,EUR
Pantalón Trekking,Moda,TechCorp,4,539.21,46.53,113.23,2024-08-23,Distribuidor,Italia,EUR
Laptop Pro,Accesorios,LogiTech,1,1246.27,102.36,261.72,2024-07-06,Distribuidor,Portugal,EUR
TV 65,Oficina,TechCorp,3,228.49,24.65,47.98,2024-09-01,Online,Alemania,EUR
Impresora Laser,Deportes,ElectroMax,1,1836.52,7.0,385.67,2024-12-28,Online,Alemania,EUR
Webcam FullHD,Deportes,ElectroMax,3,758.82,87.48,159.35,2024-02-16,Online,Portugal,EUR
Auriculares Bluetooth,Oficina,TechCorp,3,1251.71,41.94,262.86,2024-08-15,Online,Portugal,EUR
Plancha Vapor,Accesorios,ProGear,3,1021.48,34.07,214.51,2024-02-16,Tienda,Alemania,EUR
Guantes Gym,Oficina,TechCorp,5,347.1,18.92,72.89,2024-01-09,Distribuidor,Portugal,EUR
Guantes Gym,Oficina,SportWorld,2,1314.05,186.61,275.95,2024-05-15,Tienda,Alemania,EUR
Memoria RAM 16GB,Accesorios,GlobalTech,2,2027.6,271.17,425.8,2024-11-21,Distribuidor,España,EUR
SSD 1TB,Moda,GlobalTech,2,1482.8,153.56,311.39,2024-10-02,Online,Francia,EUR
Escritorio Oficina,Audio,ProGear,2,997.95,57.18,209.57,2024-02-29,Tienda,Portugal,EUR
Smartphone X,Accesorios,LogiTech,4,955.53,13.96,200.66,2024-12-30,Tienda,Italia,EUR
Zapatillas Running,Hogar,SportWorld,1,47.21,5.92,9.91,2024-10-22,Tienda,España,EUR
Reloj Deportivo,Accesorios,GlobalTech,5,1340.33,200.14,281.47,2024-04-17,Online,Italia,EUR
SSD 1TB,Audio,FashionCorp,1,21.39,1.27,4.49,2024-06-25,Distribuidor,España,EUR
Plancha Vapor,Audio,TechCorp,1,605.87,81.52,127.23,2024-03-16,Distribuidor,Italia,EUR
Refrigerador Mini,Oficina,Distribuciones Europa,2,1290.42,56.48,270.99,2024-04-24,Distribuidor,España,EUR
Silla Gamer,Oficina,ElectroMax,3,1011.89,81.59,212.5,2024-07-28,Distribuidor,Portugal,EUR
Mochila Travel,Deportes,ElectroMax,2,773.29,93.19,162.39,2024-12-26,Distribuidor,Italia,EUR
Batidora Pro,Moda,MegaStore,3,760.62,95.8,159.73,2024-10-06,Distribuidor,Alemania,EUR
Zapatillas Running,Hogar,LogiTech,3,1409.2,124.65,295.93,2024-02-14,Online,Alemania,EUR
Cámara HD,Hogar,TechCorp,4,155.84,10.44,32.73,2024-05-30,Distribuidor,España,EUR
SSD 1TB,Accesorios,SportWorld,1,498.69,54.13,104.72,2024-12-11,Distribuidor,Italia,EUR
Cargador USB-C,Audio,Distribuciones Europa,5,109.59,1.94,23.01,2024-12-12,Tienda,Italia,EUR
Microfono Pro,Audio,FashionCorp,5,1226.19,52.51,257.5,2024-10-13,Distribuidor,Alemania,EUR
Guantes Gym,Hogar,LogiTech,4,257.38,36.83,54.05,2024-09-23,Online,España,EUR
Gafas Sol,Electrónica,TechCorp,3,1605.27,141.54,337.11,2024-04-18,Tienda,Italia,EUR
TV 55,Accesorios,ElectroMax,5,848.89,109.62,178.27,2024-05-04,Tienda,Italia,EUR
Monitor 27,Deportes,GlobalTech,5,1637.5,96.62,343.88,2024-04-08,Tienda,Italia,EUR
Router WiFi,Audio,FashionCorp,5,940.23,68.66,197.45,2024-11-16,Tienda,Portugal,EUR
Monitor 27,Audio,ElectroMax,5,1369.48,173.1,287.59,2024-10-23,Tienda,Italia,EUR
Pelota Fitness,Audio,ElectroMax,3,1100.64,138.65,231.13,2024-12-29,Distribuidor,Italia,EUR
Reloj Deportivo,Accesorios,FashionCorp,1,1168.57,54.04,245.4,2024-07-29,Online,Alemania,EUR
Colchoneta Yoga,Oficina,FashionCorp,4,258.64,0.63,54.31,2024-08-18,Online,Italia,EUR
Reloj Deportivo,Hogar,FashionCorp,2,1211.13,158.16,254.34,2024-08-19,Online,España,EUR
Pelota Fitness,Audio,Distribuciones Europa,4,1255.67,71.57,263.69,2024-07-30,Online,Portugal,EUR
HDD 2TB,Deportes,GlobalTech,3,1192.73,55.36,250.47,2024-09-27,Online,Italia,EUR
Reloj Deportivo,Moda,LogiTech,4,1027.33,89.2,215.74,2024-07-03,Distribuidor,Alemania,EUR
PowerBank 20k,Audio,HomePlus,4,1863.45,184.03,391.32,2024-01-04,Distribuidor,Portugal,EUR
Tablet Plus,Hogar,HomePlus,4,171.29,10.71,35.97,2024-07-13,Tienda,Alemania,EUR
Proyector HD,Moda,Distribuciones Europa,1,867.52,122.83,182.18,2024-02-19,Online,Portugal,EUR
Refrigerador Mini,Electrónica,TechCorp,3,427.77,23.46,89.83,2024-04-04,Online,España,EUR
